"Sample","AvgDistance","Type"
"TCGA-85-A53L-01A-21R-A26W-07",0.0476243870075274,"TP"
"TCGA-46-6025-01A-11R-1820-07",0.0476031429221421,"TP"
"TCGA-77-A5G3-01A-31R-A27Q-07",0.0475733420763011,"TP"
"TCGA-NC-A5HM-01A-12R-A26W-07",0.0474851518688442,"TP"
"TCGA-22-4607-01A-01R-1201-07",0.0474565557751919,"TP"
"TCGA-22-4593-01A-21R-1820-07",0.0474360486780276,"TP"
"TCGA-56-8201-01A-11R-2247-07",0.0474085145610698,"TP"
"TCGA-58-A46L-01A-11R-A24H-07",0.047373720340018,"TP"
"TCGA-58-8390-01A-11R-2326-07",0.0472402339765116,"TP"
"TCGA-63-A5MT-01A-21R-A26W-07",0.047232566134716,"TP"
"TCGA-56-7582-01A-11R-2045-07",0.0472206521305627,"TP"
"TCGA-58-A46K-01A-11R-A24H-07",0.0472081035519487,"TP"
"TCGA-77-7142-01A-11R-2045-07",0.047081518427415,"TP"
"TCGA-39-5030-01A-01R-1443-07",0.0470774430550526,"TP"
"TCGA-21-1072-01A-01R-0692-07",0.0470683020746471,"TP"
"TCGA-77-8145-01A-11R-2247-07",0.0469803408350748,"TP"
"TCGA-68-7757-01B-11R-2296-07",0.0469770025143728,"TP"
"TCGA-22-5489-01A-01R-1635-07",0.0469674920643535,"TP"
"TCGA-94-A4VJ-01A-11R-A24Z-07",0.0469511021235555,"TP"
"TCGA-92-8064-01A-11R-2247-07",0.0469276215416817,"TP"
"TCGA-98-A53B-01A-11R-A262-07",0.0469116314352086,"TP"
"TCGA-39-5039-01A-01R-1443-07",0.0468938806266398,"TP"
"TCGA-43-A56V-01A-11R-A26W-07",0.0468868967065083,"TP"
"TCGA-39-5029-01A-01R-1443-07",0.0468499262252799,"TP"
"TCGA-43-6773-01A-41R-1949-07",0.0468177919813323,"TP"
"TCGA-46-3768-01A-01R-0980-07",0.0467993752614078,"TP"
"TCGA-92-8063-01A-11R-2247-07",0.0467984898170164,"TP"
"TCGA-NC-A5HP-01A-11R-A26W-07",0.0467962810580648,"TP"
"TCGA-66-2787-01A-01R-0980-07",0.0467953813636061,"TP"
"TCGA-60-2697-01A-11R-2125-07",0.0467750295265287,"TP"
"TCGA-94-A5I4-01A-11R-A26W-07",0.0467716126381807,"TP"
"TCGA-77-A5G1-01A-11R-A27Q-07",0.0465986076278378,"TP"
"TCGA-77-6844-01A-11R-1949-07",0.0465419104129102,"TP"
"TCGA-77-8008-01A-21R-2187-07",0.0465275107906647,"TP"
"TCGA-63-A5MG-01A-12R-A27Q-07",0.046523646445206,"TP"
