"Sample","LibrarySize","Type"
"TCGA-90-A4EE-01A-11R-A24Z-07",46766225,"TP"
"TCGA-66-2800-01A-01R-1201-07",46751485,"TP"
"TCGA-85-A5B5-01A-21R-A26W-07",46658146,"TP"
"TCGA-94-8490-01A-11R-2326-07",46637191,"TP"
"TCGA-66-2754-01A-01R-0980-07",46508088,"TP"
"TCGA-58-8391-01A-11R-2326-07",46362138,"TP"
"TCGA-34-8454-11A-01R-2326-07",46237641,"NT"
"TCGA-85-8350-01A-11R-2296-07",46184653,"TP"
"TCGA-56-7579-01A-11R-2045-07",46174112,"TP"
"TCGA-60-2720-01A-01R-0851-07",46022545,"TP"
"TCGA-21-1070-01A-01R-0692-07",45992972,"TP"
"TCGA-O2-A52W-01A-11R-A26W-07",45983283,"TP"
"TCGA-33-AAS8-01A-11R-A405-07",45896787,"TP"
"TCGA-85-8287-01A-11R-2296-07",45854330,"TP"
"TCGA-63-7021-01A-11R-1949-07",45826426,"TP"
"TCGA-58-A46M-01A-11R-A24H-07",45739464,"TP"
"TCGA-63-7022-01A-11R-1949-07",45409064,"TP"
"TCGA-37-A5EM-01A-21R-A27Q-07",45381574,"TP"
"TCGA-L3-A4E7-01A-11R-A24Z-07",45288766,"TP"
"TCGA-85-8049-01A-11R-2247-07",45280970,"TP"
"TCGA-85-8351-01A-11R-2296-07",45278143,"TP"
"TCGA-46-3767-01A-01R-0980-07",45221963,"TP"
"TCGA-85-A4QR-01A-11R-A24Z-07",45190272,"TP"
"TCGA-77-8143-01A-11R-2247-07",45011755,"TP"
"TCGA-O2-A52N-01A-11R-A26W-07",44992441,"TP"
"TCGA-94-A4VJ-01A-11R-A24Z-07",44951548,"TP"
"TCGA-46-3765-01A-01R-0980-07",44902601,"TP"
"TCGA-33-AASJ-01A-11R-A405-07",44842816,"TP"
"TCGA-66-2794-01A-01R-1201-07",44822380,"TP"
"TCGA-56-8307-01A-11R-2296-07",44810287,"TP"
"TCGA-58-A46N-01A-11R-A24H-07",44789888,"TP"
"TCGA-34-8455-01A-11R-2326-07",44752004,"TP"
"TCGA-85-A4JB-01A-51R-A262-07",44730320,"TP"
"TCGA-56-8623-11A-01R-A28V-07",44690539,"NT"
"TCGA-43-8118-01A-11R-2403-07",44656853,"TP"
"TCGA-NC-A5HF-01A-11R-A26W-07",44654422,"TP"
"TCGA-94-A5I6-01A-21R-A27Q-07",44647586,"TP"
"TCGA-85-8352-01A-31R-2326-07",44518937,"TP"
"TCGA-58-8390-01A-11R-2326-07",44515606,"TP"
"TCGA-63-A5MG-01A-12R-A27Q-07",44448289,"TP"
"TCGA-18-3421-01A-01R-0980-07",44424841,"TP"
"TCGA-33-AASI-01A-22R-A405-07",44246698,"TP"
"TCGA-77-8128-01A-11R-2247-07",44233578,"TP"
"TCGA-63-A5MV-01A-21R-A26W-07",44231035,"TP"
"TCGA-39-5036-01A-01R-1443-07",44197566,"TP"
"TCGA-39-5035-01A-01R-1443-07",44110734,"TP"
"TCGA-43-A56V-01A-11R-A26W-07",44072220,"TP"
"TCGA-43-2576-01A-01R-A32Z-07",43709066,"TP"
"TCGA-O2-A52Q-01A-11R-A26W-07",43669010,"TP"
"TCGA-18-3409-01A-01R-0980-07",43484921,"TP"
"TCGA-85-8354-01A-31R-2326-07",43431647,"TP"
"TCGA-L3-A524-01A-11R-A262-07",43362046,"TP"
"TCGA-66-2783-01A-01R-1201-07",43272825,"TP"
"TCGA-68-7757-01B-11R-2296-07",43246509,"TP"
"TCGA-56-8201-11A-01R-2247-07",43156934,"NT"
